#,System call,10240,10586,14393,15063,16299,17134,17763,18362,18363,19041,19042,19043,19044,19045,22000,20348,22621,22631,25398,26100,26085
425,NtSetInformationObject,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c
426,NtSetInformationProcess,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c
427,NtSetInformationResourceManager,0x017d,0x0180,0x0186,0x018c,0x018f,0x0191,0x0192,0x0193,0x0193,0x0199,0x0199,0x0199,0x019b,0x019b,0x01a1,0x01a4,0x01a8,0x01a8,0x01aa,0x01ab,0x01ab
428,NtSetInformationSymbolicLink,0x017e,0x0181,0x0187,0x018d,0x0190,0x0192,0x0193,0x0194,0x0194,0x019a,0x019a,0x019a,0x019c,0x019c,0x01a2,0x01a5,0x01a9,0x01a9,0x01ab,0x01ac,0x01ac
429,NtSetInformationThread,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d
430,NtSetInformationToken,0x017f,0x0182,0x0188,0x018e,0x0191,0x0193,0x0194,0x0195,0x0195,0x019b,0x019b,0x019b,0x019d,0x019d,0x01a3,0x01a6,0x01aa,0x01aa,0x01ac,0x01ad,0x01ad
431,NtSetInformationTransaction,0x0180,0x0183,0x0189,0x018f,0x0192,0x0194,0x0195,0x0196,0x0196,0x019c,0x019c,0x019c,0x019e,0x019e,0x01a4,0x01a7,0x01ab,0x01ab,0x01ad,0x01ae,0x01ae
432,NtSetInformationTransactionManager,0x0181,0x0184,0x018a,0x0190,0x0193,0x0195,0x0196,0x0197,0x0197,0x019d,0x019d,0x019d,0x019f,0x019f,0x01a5,0x01a8,0x01ac,0x01ac,0x01ae,0x01af,0x01af
433,NtSetInformationVirtualMemory,0x0182,0x0185,0x018b,0x0191,0x0194,0x0196,0x0197,0x0198,0x0198,0x019e,0x019e,0x019e,0x01a0,0x01a0,0x01a6,0x01a9,0x01ad,0x01ad,0x01af,0x01b0,0x01b0
434,NtSetInformationWorkerFactory,0x0183,0x0186,0x018c,0x0192,0x0195,0x0197,0x0198,0x0199,0x0199,0x019f,0x019f,0x019f,0x01a1,0x01a1,0x01a7,0x01aa,0x01ae,0x01ae,0x01b0,0x01b1,0x01b1
435,NtSetIntervalProfile,0x0184,0x0187,0x018d,0x0193,0x0196,0x0198,0x0199,0x019a,0x019a,0x01a0,0x01a0,0x01a0,0x01a2,0x01a2,0x01a8,0x01ab,0x01af,0x01af,0x01b1,0x01b2,0x01b2
436,NtSetIoCompletion,0x0185,0x0188,0x018e,0x0194,0x0197,0x0199,0x019a,0x019b,0x019b,0x01a1,0x01a1,0x01a1,0x01a3,0x01a3,0x01a9,0x01ac,0x01b0,0x01b0,0x01b2,0x01b3,0x01b3
437,NtSetIoCompletionEx,0x0186,0x0189,0x018f,0x0195,0x0198,0x019a,0x019b,0x019c,0x019c,0x01a2,0x01a2,0x01a2,0x01a4,0x01a4,0x01aa,0x01ad,0x01b1,0x01b1,0x01b3,0x01b4,0x01b4
438,NtSetLdtEntries,0x0187,0x018a,0x0190,0x0196,0x0199,0x019b,0x019c,0x019d,0x019d,0x01a3,0x01a3,0x01a3,0x01a5,0x01a5,0x01ab,0x01ae,0x01b2,0x01b2,0x01b4,0x01b5,0x01b5
439,NtSetLowEventPair,0x0188,0x018b,0x0191,0x0197,0x019a,0x019c,0x019d,0x019e,0x019e,0x01a4,0x01a4,0x01a4,0x01a6,0x01a6,0x01ac,0x01af,0x01b3,0x01b3,0x01b5,0x01b6,0x01b6
440,NtSetLowWaitHighEventPair,0x0189,0x018c,0x0192,0x0198,0x019b,0x019d,0x019e,0x019f,0x019f,0x01a5,0x01a5,0x01a5,0x01a7,0x01a7,0x01ad,0x01b0,0x01b4,0x01b4,0x01b6,0x01b7,0x01b7
441,NtSetQuotaInformationFile,0x018a,0x018d,0x0193,0x0199,0x019c,0x019e,0x019f,0x01a0,0x01a0,0x01a6,0x01a6,0x01a6,0x01a8,0x01a8,0x01ae,0x01b1,0x01b5,0x01b5,0x01b7,0x01b8,0x01b8
442,NtSetSecurityObject,0x018b,0x018e,0x0194,0x019a,0x019d,0x019f,0x01a0,0x01a1,0x01a1,0x01a7,0x01a7,0x01a7,0x01a9,0x01a9,0x01af,0x01b2,0x01b6,0x01b6,0x01b8,0x01b9,0x01b9
443,NtSetSystemEnvironmentValue,0x018c,0x018f,0x0195,0x019b,0x019e,0x01a0,0x01a1,0x01a2,0x01a2,0x01a8,0x01a8,0x01a8,0x01aa,0x01aa,0x01b0,0x01b3,0x01b7,0x01b7,0x01b9,0x01ba,0x01ba
444,NtSetSystemEnvironmentValueEx,0x018d,0x0190,0x0196,0x019c,0x019f,0x01a1,0x01a2,0x01a3,0x01a3,0x01a9,0x01a9,0x01a9,0x01ab,0x01ab,0x01b1,0x01b4,0x01b8,0x01b8,0x01ba,0x01bb,0x01bb
445,NtSetSystemInformation,0x018e,0x0191,0x0197,0x019d,0x01a0,0x01a2,0x01a3,0x01a4,0x01a4,0x01aa,0x01aa,0x01aa,0x01ac,0x01ac,0x01b2,0x01b5,0x01b9,0x01b9,0x01bb,0x01bc,0x01bc
446,NtSetSystemPowerState,0x018f,0x0192,0x0198,0x019e,0x01a1,0x01a3,0x01a4,0x01a5,0x01a5,0x01ab,0x01ab,0x01ab,0x01ad,0x01ad,0x01b3,0x01b6,0x01ba,0x01ba,0x01bc,0x01bd,0x01bd
447,NtSetSystemTime,0x0190,0x0193,0x0199,0x019f,0x01a2,0x01a4,0x01a5,0x01a6,0x01a6,0x01ac,0x01ac,0x01ac,0x01ae,0x01ae,0x01b4,0x01b7,0x01bb,0x01bb,0x01bd,0x01be,0x01be
448,NtSetThreadExecutionState,0x0191,0x0194,0x019a,0x01a0,0x01a3,0x01a5,0x01a6,0x01a7,0x01a7,0x01ad,0x01ad,0x01ad,0x01af,0x01af,0x01b5,0x01b8,0x01bc,0x01bc,0x01be,0x01bf,0x01bf
449,NtSetTimer,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062,0x0062
450,NtSetTimer2,0x0192,0x0195,0x019b,0x01a1,0x01a4,0x01a6,0x01a7,0x01a8,0x01a8,0x01ae,0x01ae,0x01ae,0x01b0,0x01b0,0x01b6,0x01b9,0x01bd,0x01bd,0x01bf,0x01c0,0x01c0
451,NtSetTimerEx,0x0193,0x0196,0x019c,0x01a2,0x01a5,0x01a7,0x01a8,0x01a9,0x01a9,0x01af,0x01af,0x01af,0x01b1,0x01b1,0x01b7,0x01ba,0x01be,0x01be,0x01c0,0x01c1,0x01c1
452,NtSetTimerResolution,0x0194,0x0197,0x019d,0x01a3,0x01a6,0x01a8,0x01a9,0x01aa,0x01aa,0x01b0,0x01b0,0x01b0,0x01b2,0x01b2,0x01b8,0x01bb,0x01bf,0x01bf,0x01c1,0x01c2,0x01c2
453,NtSetUuidSeed,0x0195,0x0198,0x019e,0x01a4,0x01a7,0x01a9,0x01aa,0x01ab,0x01ab,0x01b1,0x01b1,0x01b1,0x01b3,0x01b3,0x01b9,0x01bc,0x01c0,0x01c0,0x01c2,0x01c3,0x01c3
454,NtSetValueKey,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060
455,NtSetVolumeInformationFile,0x0196,0x0199,0x019f,0x01a5,0x01a8,0x01aa,0x01ab,0x01ac,0x01ac,0x01b2,0x01b2,0x01b2,0x01b4,0x01b4,0x01ba,0x01bd,0x01c1,0x01c1,0x01c3,0x01c4,0x01c4
456,NtSetWnfProcessNotificationEvent,0x0197,0x019a,0x01a0,0x01a6,0x01a9,0x01ab,0x01ac,0x01ad,0x01ad,0x01b3,0x01b3,0x01b3,0x01b5,0x01b5,0x01bb,0x01be,0x01c2,0x01c2,0x01c4,0x01c5,0x01c5
457,NtShutdownSystem,0x0198,0x019b,0x01a1,0x01a7,0x01aa,0x01ac,0x01ad,0x01ae,0x01ae,0x01b4,0x01b4,0x01b4,0x01b6,0x01b6,0x01bc,0x01bf,0x01c3,0x01c3,0x01c5,0x01c6,0x01c6
458,NtShutdownWorkerFactory,0x0199,0x019c,0x01a2,0x01a8,0x01ab,0x01ad,0x01ae,0x01af,0x01af,0x01b5,0x01b5,0x01b5,0x01b7,0x01b7,0x01bd,0x01c0,0x01c4,0x01c4,0x01c6,0x01c7,0x01c7
459,NtSignalAndWaitForSingleObject,0x019a,0x019d,0x01a3,0x01a9,0x01ac,0x01ae,0x01af,0x01b0,0x01b0,0x01b6,0x01b6,0x01b6,0x01b8,0x01b8,0x01be,0x01c1,0x01c5,0x01c5,0x01c7,0x01c8,0x01c8
460,NtSinglePhaseReject,0x019b,0x019e,0x01a4,0x01aa,0x01ad,0x01af,0x01b0,0x01b1,0x01b1,0x01b7,0x01b7,0x01b7,0x01b9,0x01b9,0x01bf,0x01c2,0x01c6,0x01c6,0x01c8,0x01c9,0x01c9
461,NtStartProfile,0x019c,0x019f,0x01a5,0x01ab,0x01ae,0x01b0,0x01b1,0x01b2,0x01b2,0x01b8,0x01b8,0x01b8,0x01ba,0x01ba,0x01c0,0x01c3,0x01c7,0x01c7,0x01c9,0x01ca,0x01ca
462,NtStartTm,,,,,,,,,,,,,,,,,,,,,
